Sample,Species,exp_16s,cov1_cm,cov2_tp
smp_2,Gordonibacter_pamelaeae,0,M,2
smp_2,Gymnodinium_aureolum,0,M,2
smp_2,Haemophilus_parahaemolyticus,0,M,2
smp_2,Haemophilus_sputorum,0,M,2
smp_2,Holdemania_filiformis,0,M,2
smp_2,Ihubacter_massiliensis,0,M,2
smp_2,Ileibacterium_valens,0,M,2
smp_2,Intestinimonas_butyriciproducens,2.595,M,2
smp_2,Intestinimonas_sp.,0,M,2
smp_2,Joostella_marina,0,M,2
smp_2,Lachnoclostridium_phocaeense,0,M,2
smp_2,Lachnospiraceae_bacterium,0,M,2
smp_2,Lactobacillus_delbrueckii,0,M,2
smp_2,Lactobacillus_mucosae,0,M,2
smp_2,Lactobacillus_vaginalis,0,M,2
smp_2,Leptotrichia_sp.,0,M,2
smp_2,Massiliomicrobiota_timonensis,0.901,M,2
smp_2,Megasphaera_micronuciformis,0,M,2
smp_2,Micromonas_commoda,0,M,2
smp_2,Mobiluncus_curtisii,0,M,2
smp_2,Monocercomonoides_sp.,0,M,2
smp_2,Mordavella_sp.,0,M,2
smp_2,Murdochiella_asaccharolytica,0,M,2
smp_2,Murdochiella_vaginalis,0,M,2
smp_2,Myrothecium_gramineum,0,M,2
smp_2,Myrothecium_sp.,0,M,2
smp_2,Negativicoccus_succinicivorans,0,M,2
smp_2,Nephroselmis_pyriformis,0,M,2
smp_2,Odoribacter_laneus,0,M,2
smp_2,Odoribacter_splanchnicus,0,M,2
smp_2,Oryza_sativa,0,M,2
smp_2,Oxalobacter_formigenes,0,M,2
smp_2,Parabacteroides_goldsteinii,0,M,2
smp_2,Parabacteroides_johnsonii,0,M,2
smp_2,Parabacteroides_merdae,0,M,2
smp_2,Paraphaeosphaeria_neglecta,0,M,2
smp_2,Paraprevotella_xylaniphila,0,M,2
smp_2,Parasutterella_excrementihominis,0,M,2
smp_2,Peptococcus_niger,0,M,2
smp_2,Peptoniphilus_coxii,0,M,2
smp_2,Peptoniphilus_lacrimalis,0,M,2
smp_2,Peptoniphilus_timonensis,0,M,2
smp_2,Peptoniphilus_urinimassiliensis,0,M,2
smp_2,Peptostreptococcus_anaerobius,0,M,2
smp_2,Phalacroma_mitra,0,M,2
smp_2,Polycyclovorans_algicola,0,M,2
smp_2,Porphyromonas_asaccharolytica,0,M,2
smp_2,Porphyromonas_bennonis,0,M,2
smp_2,Porphyromonas_gingivalis,0,M,2
smp_2,Porphyromonas_somerae,0,M,2
smp_2,Prevotella_bergensis,0,M,2
smp_2,Prevotella_bivia,0,M,2
smp_2,Prevotella_buccae,0,M,2
smp_2,Prevotella_buccalis,0,M,2
smp_2,Prevotella_colorans,0,M,2
smp_2,Prevotella_copri,0,M,2
smp_2,Prevotella_denticola,0,M,2
smp_2,Prevotella_disiens,0,M,2
smp_2,Prevotella_histicola,0,M,2
smp_2,Prevotella_melaninogenica,0,M,2
smp_2,Prevotella_oralis,0,M,2
